Case,MayHBC,Species,Avg.Sp.Mass.g,Family,Age,Sex,Location,Disposition,Treatment.Time,Year,Season,Facility,RhbFund,Stunned.Shock,Lethargy.Weak,Concussion,Unconscious,WingFracture,Back.Spine.neck.Injury,LegFracture,Eye.Injury,Beak.Mouth.Injury,Skull.Fracture,Head.Trauma,PunctureWound,Bruising.Swelling,PelvicInjury,CoracoidFracture,Emaciated.Dehydrated,InternalBleeding,Animal.Attack.Too,Neurological,NerveDamage,Grasping.leg.impairment,BalanceIssues,UnableToFly,RespiratoryDistress,Paralysis,Infection.Sick.Parasites,Hypothermia,0.HNBN,0.WLL,0.TAB,0.UNS
1388,F,COHA,410,Accipitridae,Adult,Unknown,Jefferson NY,Released,16,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,F,AMRO,81,Turdidae,Adult,Unknown,Miller Place NY,Released,15,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,F,DOWO,24.5,Picidae,Juvenile,Unknown,Wading River NY,Released,5,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,F,MODO,133,Columbidae,Adult,Unknown,Centerreach NY,Released,17,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,F,COHA,410,Accipitridae,Adult,Unknown,Ronkonkoma NY,Released,45,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,F,MODO,133,Columbidae,Adult,Unknown,Lindenhurst NY,Released,5,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,F,ROPI,322.5,Columbidae,Adult,Unknown,Jefferson NY,Released,10,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,F,RCKI,7.5,Regulidae,Adult,Unknown,Setauket NY,Released,8,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,F,CEDW,32,Bombycillidae,Adult,Unknown,Mt. Sinai NY,Released,6,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1397,F,SOSP,32.5,Passerellidae,Adult,Unknown,Middle Island NY,Released,13,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,F,GCKI,6,Regulidae,Adult,Unknown,Patchogue NY,Released,12,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,F,AMRO,81,Turdidae,Adult,Unknown,Mt. Sinai NY,Released,12,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,F,HOFI,21.5,Fringillidae,Adult,Unknown,Patchogue NY,Released,4,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,F,BLJA,85,Corvidae,Adult,Unknown,Centerreach NY,Released,5,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,F,BRTH,75,Mimidae,Adult,Unknown,Coram NY,Released,11,2021,Summer,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,F,MODO,133,Columbidae,Adult,Unknown,Shirley NY,Released,9,2021,Fall,Organization,92863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,F,SSHA,152.5,Accipitridae,Adult,Unknown,Buffalo NY,Released,2,2020,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,F,PISI,15,Fringillidae,Adult,Unknown,Elma NY,Euthanized,0,2020,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1406,F,NOCA,45,Cardinalidae,Adult,Unknown,Cheektowaga NY,Euthanized,0,2020,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,F,HOFI,21.5,Fringillidae,Adult,Unknown,Forestville NY,Died,3,2020,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,F,WBNU,24,Sittidae,Adult,Unknown,Hamburg NY,Released,5,2020,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1409,F,NOCA,45,Cardinalidae,Adult,Unknown,Niagara Falls NY,Euthanized,1,2021,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,F,COHA,410,Accipitridae,Adult,Unknown,Clarence NY,Released,0,2021,Winter,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,F,DOWO,24.5,Picidae,Adult,Unknown,Hamburg NY,Released,1,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412,F,AMRO,81,Turdidae,Unknown,Unknown,Buffalo NY,Released,2,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,F,NSWO,108,Strigidae,Adult,Unknown,Amherst NY,Died,17,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,F,BRCR,7.5,Certhiidae,Adult,Unknown,Buffalo NY,Euthanized,0,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,F,WTSP,27,Passerellidae,Adult,Unknown,Alden NY,Released,NA,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,F,DOWO,24.5,Picidae,Adult,Unknown,Buffalo NY,Released,NA,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,F,SSHA,152.5,Accipitridae,Adult,Unknown,Hamburg NY,Dead on Arrival,0,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,F,COGR,108,Icteridae,Unknown,Unknown,Seneca NY,Euthanized,1,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,F,EUST,78,Sturnidae,Adult,Unknown,Niagara Falls NY,Euthanized,4,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1420,F,COGR,108,Icteridae,Juvenile,Unknown,West Seneca NY,Euthanized,0,2021,Spring,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,F,HAWO,67.5,Picidae,Juvenile,Unknown,East Amherst NY,Released,19,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,F,COGR,108,Icteridae,Adult,Unknown,East Amherst NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,F,NOCA,45,Cardinalidae,Adult,Unknown,Williamsville NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1424,F,MODO,133,Columbidae,Adult,Unknown,Amherst NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,F,AMRO,81,Turdidae,Juvenile,Unknown,Buffalo NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1426,F,MODO,133,Columbidae,Unknown,Unknown,Buffalo NY,Released,2,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427,F,RBWO,73.5,Picidae,Juvenile,Unknown,West Seneca NY,Died,1,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,F,DOWO,24.5,Picidae,Adult,Unknown,Tonawanda NY,Released,23,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,F,CANG,6000,Anatidae,Adult,Unknown,Amherst NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,F,YEWA,10,Parulidae,Adult,Unknown,East Amherst NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,F,MODO,133,Columbidae,Juvenile,Unknown,Williamsville NY,Released,71,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,F,BLJA,85,Corvidae,Unknown,Unknown,Amherst NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1433,F,GRCA,39.9,Mimidae,Adult,Unknown,Hamburg NY,Euthanized,0,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,F,AMRO,81,Turdidae,Unknown,Unknown,Snyder NY,Released,17,2021,Summer,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,F,RTHU,4,Trochilidae,Adult,Unknown,Derby NY,Euthanized,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,F,HOSP,28.5,Passeridae,Adult,Unknown,West Seneca NY,Euthanized,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,F,ROPI,322.5,Columbidae,Adult,Unknown,Grand Island NY,Died,13,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,F,SWTH,34,Turdidae,Adult,Unknown,Elma NY,Euthanized,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,F,YSFL,135,Picidae,Adult,Unknown,Dunkirk NY,Released,8,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,F,YBSA,49,Picidae,Juvenile,Unknown,Eden NY,Died,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1441,F,WTSP,27,Passerellidae,Adult,Unknown,Cheektowaga NY,Released,2,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1442,F,GCKI,6,Regulidae,Adult,Unknown,Amherst NY,Died,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,F,MALL,1150,Anatidae,Adult,Unknown,Lewiston NY,Euthanized,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,F,YBSA,49,Picidae,Adult,Unknown,East Aurora NY,Euthanized,1,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,F,ROPI,322.5,Columbidae,Adult,Unknown,Buffalo NY,Released,18,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,F,NOCA,45,Cardinalidae,Adult,Unknown,Tonawanda NY,Euthanized,0,2021,Fall,Organization,7490708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1447,F,CEDW,32,Bombycillidae,Juvenile,Unknown,Fairport NY,Kept for Education,423,2020,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1448,F,HOSP,28.5,Passeridae,Unknown,Unknown,Rochester NY,Euthanized,0,2021,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,F,MODO,133,Columbidae,Juvenile,Unknown,Rochester NY,Released,48,2021,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,F,COHA,410,Accipitridae,Adult,Unknown,Rochester NY,Released,12,2021,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,F,COGR,108,Icteridae,Unknown,Unknown,Webster NY,Died,0,2021,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,F,NOCA,45,Cardinalidae,Juvenile,Unknown,Rochester NY,Released,48,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,F,AMRO,81,Turdidae,Juvenile,Unknown,Rochester NY,Released,24,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,F,MODO,133,Columbidae,Adult,Unknown,Rochester NY,Released,6,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,F,RWBL,54.5,Icteridae,Adult,Unknown,Rochester NY,Died,3,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,F,EABL,30,Turdidae,Unknown,Unknown,Rochester NY,Euthanized,0,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,F,RCKI,7.5,Regulidae,Adult,Unknown,Rochester NY,Died,1,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,F,WOTH,45,Turdidae,Juvenile,Unknown,Rochester NY,Died,2,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1459,F,MODO,133,Columbidae,Adult,Unknown,Rochester NY,Released,62,2021,Spring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,F,YSFL,135,Picidae,Unknown,Unknown,Rochester NY,Euthanized,0,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,F,DOWO,24.5,Picidae,Adult,Unknown,Rochester NY,Released,2,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,F,WBNU,24,Sittidae,Juvenile,Unknown,Bergen NY,Released,4,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463,F,NOCA,45,Cardinalidae,Juvenile,Unknown,Rochester NY,Released,46,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464,F,GRCA,39.9,Mimidae,Juvenile,Unknown,Rochester NY,Released,12,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,F,BCCH,11.5,Paridae,Juvenile,Unknown,Webster NY,Died,1,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,F,YSFL,135,Picidae,Juvenile,Unknown,Chili NY,Euthanized,0,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1467,F,GRCA,39.9,Mimidae,Juvenile,Unknown,Rochester NY,Released,4,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,F,MODO,133,Columbidae,Juvenile,Unknown,Rochester NY,Euthanized,0,2021,Summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,F,COHA,410,Accipitridae,Juvenile,Unknown,Webster NY,Released,14,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1470,F,RTHU,4,Trochilidae,Juvenile,Unknown,Henrietta NY,Released,4,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,F,COHA,410,Accipitridae,Adult,Unknown,Walworth NY,Released,7,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,F,REVI,19,Vireonidae,Adult,Unknown,Rochester NY,Died,3,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,F,BLJA,85,Corvidae,Adult,Unknown,Rochester NY,Died,1,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,F,AMGO,15.5,Fringillidae,Adult,Unknown,Ontario NY,Released,0,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,F,YBSA,49,Picidae,Adult,Unknown,Rochester NY,Died,1,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,F,MODO,133,Columbidae,Adult,Unknown,Pittsford NY,Euthanized,0,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477,F,AMRO,81,Turdidae,Adult,Unknown,Webster NY,Euthanized,0,2021,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,F,DEJU,24,Passerellidae,Adult,Unknown,Boston NY,Released,14,2021,Winter,Organization,73217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
